x,y,p,u,v
 3.999999166E-02,-1.00E-02,-7.27E-02, 0.000000000E+00, 0.000000000E+00
 3.999999166E-02,-9.50E-03,-7.27E-02,-1.19E-03, 8.839814329E-06
 3.999999166E-02,-9.00E-03,-7.27E-02,-2.14E-03, 2.436931481E-05
 3.999999166E-02,-8.50E-03,-7.27E-02,-2.83E-03, 4.246469663E-05
 3.999999166E-02,-8.00E-03,-7.27E-02,-3.27E-03, 6.056109941E-05
 3.999999166E-02,-7.50E-03,-7.27E-02,-3.45E-03, 7.279353707E-05
 3.999999166E-02,-7.00E-03,-7.28E-02,-3.38E-03, 7.529481280E-05
 3.999999166E-02,-6.50E-03,-7.28E-02,-3.06E-03, 6.546716899E-05
 3.999999166E-02,-6.00E-03,-7.28E-02,-2.52E-03, 4.072902694E-05
 3.999999166E-02,-5.50E-03,-7.29E-02,-1.77E-03, 5.672612090E-07
 3.999999166E-02,-5.00E-03,-7.29E-02,-8.29E-04,-5.66E-05
 3.999999166E-02,-4.50E-03,-7.30E-02, 2.958663390E-04,-1.30E-04
 3.999999166E-02,-4.00E-03,-7.30E-02, 1.589900959E-03,-2.20E-04
 3.999999166E-02,-3.50E-03,-7.30E-02, 3.046362648E-03,-3.25E-04
 3.999999166E-02,-3.00E-03,-7.30E-02, 4.660499434E-03,-4.44E-04
 3.999999166E-02,-2.50E-03,-7.30E-02, 6.427694130E-03,-5.74E-04
 3.999999166E-02,-2.00E-03,-7.29E-02, 8.339939272E-03,-7.14E-04
 3.999999166E-02,-1.50E-03,-7.28E-02, 1.038165549E-02,-8.59E-04
 3.999999166E-02,-1.00E-03,-7.27E-02, 1.252516990E-02,-1.00E-03
 3.999999166E-02,-5.00E-04,-7.24E-02, 1.472729596E-02,-1.15E-03
 3.999958932E-02,-5.35E-08,-7.22E-02, 1.692744887E-02,-1.28E-03
 3.999999166E-02, 5.000000237E-04,-7.18E-02, 1.905177371E-02,-1.39E-03
 3.999999166E-02, 1.000000047E-03,-7.14E-02, 2.101552058E-02,-1.49E-03
 3.999999166E-02, 1.500000013E-03,-7.09E-02, 2.273434816E-02,-1.56E-03
 3.999999166E-02, 2.000000095E-03,-7.03E-02, 2.413206775E-02,-1.60E-03
 3.999999166E-02, 2.499999944E-03,-6.97E-02, 2.513582349E-02,-1.61E-03
 3.999999166E-02, 3.000000026E-03,-6.91E-02, 2.567486078E-02,-1.58E-03
 3.999999166E-02, 3.499999875E-03,-6.85E-02, 2.578402221E-02,-1.53E-03
 3.999999166E-02, 4.000000190E-03,-6.79E-02, 2.546343163E-02,-1.46E-03
 3.999999166E-02, 4.499999806E-03,-6.74E-02, 2.466657169E-02,-1.35E-03
 3.999999166E-02, 4.999999888E-03,-6.69E-02, 2.342463946E-02,-1.23E-03
 3.999999166E-02, 5.499999970E-03,-6.64E-02, 2.176558201E-02,-1.08E-03
 3.999999166E-02, 6.000000052E-03,-6.61E-02, 1.973526762E-02,-9.23E-04
 3.999999166E-02, 6.499999668E-03,-6.59E-02, 1.739817015E-02,-7.58E-04
 3.999999166E-02, 6.999999750E-03,-6.57E-02, 1.483520591E-02,-5.93E-04
 3.999999166E-02, 7.499999832E-03,-6.56E-02, 1.214047860E-02,-4.36E-04
 3.999999166E-02, 8.000000380E-03,-6.56E-02, 9.414730941E-03,-2.95E-04
 3.999999166E-02, 8.500000462E-03,-6.56E-02, 6.757538693E-03,-1.77E-04
 3.999999166E-02, 8.999999613E-03,-6.56E-02, 4.258737069E-03,-8.67E-05
 3.999999166E-02, 9.499999695E-03,-6.57E-02, 1.990838602E-03,-2.84E-05
 3.999999166E-02, 9.999999776E-03,-6.57E-02, 0.000000000E+00, 0.000000000E+00
