x,y,sv
 5.675999873E-02, 5.000000000E-02, 2.500000000E-02
 5.675999682E-02, 5.013126261E-02, 2.438039991E-02
 5.675999682E-02, 5.026203920E-02, 2.376607555E-02
 5.675999682E-02, 5.039233010E-02, 2.315816005E-02
 5.675999682E-02, 5.052213711E-02, 2.255890623E-02
 5.675999682E-02, 5.065146202E-02, 2.197095277E-02
 5.675999682E-02, 5.078030663E-02, 2.139710955E-02
 5.675999682E-02, 5.090867272E-02, 2.084016885E-02
 5.675999682E-02, 5.103656206E-02, 2.030274355E-02
 5.675999682E-02, 5.116397643E-02, 1.978712302E-02
 5.675999682E-02, 5.129091759E-02, 1.929518592E-02
 5.675999682E-02, 5.141738731E-02, 1.882831072E-02
 5.675999682E-02, 5.154338732E-02, 1.838730378E-02
 5.675999682E-02, 5.166891937E-02, 1.797239657E-02
 5.675999682E-02, 5.179398521E-02, 1.758321307E-02
 5.675999682E-02, 5.191858656E-02, 1.721879437E-02
 5.675999682E-02, 5.204272515E-02, 1.687764081E-02
 5.675999682E-02, 5.216640270E-02, 1.655772311E-02
 5.675999682E-02, 5.228962092E-02, 1.625654186E-02
 5.675999682E-02, 5.241238151E-02, 1.597118095E-02
 5.675999682E-02, 5.253468618E-02, 1.569835966E-02
 5.675999682E-02, 5.265653662E-02, 1.543450242E-02
 5.675999682E-02, 5.277793451E-02, 1.517580332E-02
 5.675999682E-02, 5.289888154E-02, 1.491826821E-02
 5.675999682E-02, 5.301937938E-02, 1.465779025E-02
 5.675999682E-02, 5.313942969E-02, 1.439023245E-02
 5.675999682E-02, 5.325903415E-02, 1.411145970E-02
 5.675999682E-02, 5.337819441E-02, 1.381744075E-02
 5.675999682E-02, 5.349691211E-02, 1.350431991E-02
 5.675999682E-02, 5.361518890E-02, 1.316848477E-02
 5.675999682E-02, 5.373302642E-02, 1.280666912E-02
 5.675999682E-02, 5.385042630E-02, 1.241602208E-02
 5.675999682E-02, 5.396739017E-02, 1.199419609E-02
 5.675999682E-02, 5.408391964E-02, 1.153942937E-02
 5.675999682E-02, 5.420001632E-02, 1.105058984E-02
 5.675999682E-02, 5.431568183E-02, 1.052724837E-02
 5.675999682E-02, 5.443091777E-02, 9.969706370E-03
 5.675999682E-02, 5.454572573E-02, 9.378984285E-03
 5.675999682E-02, 5.466010729E-02, 8.756804096E-03
 5.675999682E-02, 5.477406406E-02, 8.105536792E-03
 5.675999682E-02, 5.488759759E-02, 7.428117547E-03
 5.675999682E-02, 5.500070947E-02, 6.727935081E-03
 5.675999682E-02, 5.511340126E-02, 6.008710307E-03
 5.675999682E-02, 5.522567452E-02, 5.274313541E-03
 5.675999682E-02, 5.533753080E-02, 4.528654735E-03
 5.675999682E-02, 5.544897165E-02, 3.775498413E-03
 5.675999682E-02, 5.555999863E-02, 3.018284330E-03
 5.675999682E-02, 5.567061325E-02, 2.260018599E-03
 5.675999682E-02, 5.578081706E-02, 1.503129042E-03
 5.675999682E-02, 5.589061158E-02, 7.493599877E-04
 5.675999873E-02, 5.600000000E-02, 0.000000000E+00
